"id"	"sheet_no"	"cas"	"cas_no"	"goods_name"
"109"	"表4"	"57485-31-1"	"57485-31-1"	"硅铝合金"
"110"	"表2"	"12205-44-6"	"12205-44-6"	"硅锰钙合金"
"111"	"表3"	"12003-41-7[非粉状]"	"12003-41-7"	"硅铁铝合金"
"112"	"表3"	"12003-41-7[粉状]"	"12003-41-7"	"硅铁铝合金粉"
"113"	"表2"	"37340-23-1"	"37340-23-1"	"钾汞齐"
"114"	"表4"	"11135-81-2"	"11135-81-2"	"钾钠合金"
"115"	"表3"	"11135-81-2[液态]"	"11135-81-2"	"钾钠合金"
"116"	"表2"	"64082-35-5"	"64082-35-5"	"锂硅铁合金"
"117"	"表2"	"12635-27-7"	"12635-27-7"	"铝镍合金"
"118"	"表2"	"12635-29-9"	"12635-29-9"	"铝镍合金"
"119"	"表3"	"7439-95-4&7429-90-5[非粉状]"	"7439-95-4&7429-90-5"	"镁铝合金"
"120"	"表3"	"7439-95-4&7429-90-5[粉状]"	"7439-95-4&7429-90-5"	"镁铝合金粉"
"121"	"表3"	"8006-73-3[煤油中]"	"8006-73-3"	"米许合金，煤油溶液"
"122"	"表4"	"8006-73-3"	"8006-73-3"	"米许合金"
"123"	"表2"	"69523-06-4"	"69523-06-4"	"铁铈合金"
"124"	"表2"	"52374-36-4"	"52374-36-4"	"锌汞合金"
"125"	"表3"	"8006-28-8[含氢氧化钠＜4%]"	"8006-28-8"	"钠石灰"
"126"	"表3"	"8006-28-8[含氢氧化钠≥4%]"	"8006-28-8"	"钠石灰"
"127"	"表2"	"15630-89-4"	"15630-89-4"	"过碳酸钠"
"128"	"表3"	"1336-21-6[含氨量10-50%]"	"1336-21-6"	"氢氧化铵，水溶液"
"129"	"表3"	"1336-21-6[含氨量＜10%]"	"1336-21-6"	"氢氧化铵，水溶液"
"130"	"表3"	"1336-21-6[含氨量＞50%]"	"1336-21-6"	"氢氧化铵，水溶液"
"131"	"表2"	"17194-00-2"	"17194-00-2"	"氢氧化钡"
"132"	"表2"	"12230-71-6"	"12230-71-6"	"氢氧化钡，八水"
"133"	"表2"	"40226-30-0"	"40226-30-0"	"氢氧化钡，水合"
"134"	"表2"	"22326-55-2"	"22326-55-2"	"氢氧化钡，一水"
"135"	"表3"	"1310-58-3[甲醇溶液]"	"1310-58-3"	"氢氧化钾，甲醇溶液"
"136"	"表3"	"1310-58-3[易燃溶剂溶液]"	"1310-58-3"	"氢氧化钾，溶液"
"137"	"表3"	"1310-58-3[水溶液,含量＜30%]"	"1310-58-3"	"氢氧化钾，水溶液"
"138"	"表3"	"1310-58-3[水溶液,含量≥30%]"	"1310-58-3"	"氢氧化钾，水溶液"
"139"	"表3"	"1310-58-3"	"1310-58-3"	"氢氧化钾"
"140"	"表4"	"1310-65-2"	"1310-65-2"	"氢氧化锂"
"141"	"表4"	"1310-65-2[水溶液]"	"1310-65-2"	"氢氧化锂，水溶液"
"142"	"表2"	"1310-66-3"	"1310-66-3"	"氢氧化锂，一水"
"143"	"表3"	"1310-73-2[水溶液,含量＜30%]"	"1310-73-2"	"氢氧化钠，水溶液"
"144"	"表3"	"1310-73-2[水溶液,含量≥30%]"	"1310-73-2"	"氢氧化钠，水溶液"
"145"	"表2"	"12179-02-1"	"12179-02-1"	"氢氧化钠，一水"
"146"	"表2"	"12200-64-5"	"12200-64-5"	"氢氧化钠，一水"
"147"	"表3"	"1310-73-2[乙醇溶液]"	"1310-73-2"	"氢氧化钠，乙醇溶液"
"148"	"表3"	"1310-73-2"	"1310-73-2"	"氢氧化钠"
"149"	"表2"	"13327-32-7"	"13327-32-7"	"氢氧化铍"
"150"	"表4"	"1310-82-3"	"1310-82-3"	"氢氧化铷"
"151"	"表2"	"12026-05-0"	"12026-05-0"	"氢氧化铷，水合"
"152"	"表4"	"1310-82-3[水溶液]"	"1310-82-3"	"氢氧化铷，水溶液"
"153"	"表4"	"21351-79-1"	"21351-79-1"	"氢氧化铯"
"154"	"表2"	"12260-45-6"	"12260-45-6"	"氢氧化铯，水合"
"155"	"表4"	"21351-79-1[水溶液]"	"21351-79-1"	"氢氧化铯，水溶液"
"156"	"表2"	"35103-79-8"	"35103-79-8"	"氢氧化铯，一水"
"157"	"表1"	"12026-06-1"	"17026-06-1"	"氢氧化铊(Ⅰ)"
"158"	"表2"	"12026-06-1"	"12026-06-1"	"氢氧化铊(Ⅰ)"
"159"	"表2"	"10039-54-0"	"10039-54-0"	"硫酸羟胺"
"160"	"表2"	"13465-08-2"	"13465-08-2"	"羟胺，硝酸盐"
"161"	"表2"	"37348-16-6"	"37348-16-6"	"溴化氢，乙酸溶液"
"162"	"表2"	"132207-32-0"	"132207-32-0"	"白石棉"
"163"	"表2"	"132207-33-1"	"132207-33-1"	"青石棉"
"164"	"表2"	"81133-20-0"	"81133-20-0"	"烧碱石棉"
"165"	"表2"	"81133-20-2"	"81133-20-2"	"烧碱石棉"
"166"	"表2"	"1332-21-4"	"1332-21-4"	"酸洗石棉"
"167"	"表4"	"6303-21-5[水溶液]"	"6303-21-5"	"次亚磷酸，水溶液"
"168"	"表4"	"6303-21-5"	"6303-21-5"	"次亚磷酸"
"169"	"表4"	"7803-68-1"	"7803-68-1"	"碲酸"
"170"	"表4"	"7803-68-1[稀硝酸溶液]"	"7803-68-1"	"碲酸，稀硝酸溶液"
"171"	"表2"	"7782-68-5"	"7782-68-5"	"碘酸"
"172"	"表1"	"7697-37-2[发红烟]"	"52583-42-3"	"发烟硝酸"
"173"	"表3"	"7697-37-2[发红烟]"	"7697-37-2"	"发烟硝酸"
"174"	"表2"	"10450-60-9"	"10450-60-9"	"高碘酸"
"175"	"表3"	"7601-90-3[乙酸酐溶液]"	"7601-90-3"	"高氯酸，乙酸酐溶液"
"176"	"表3"	"7601-90-3[乙酸溶液]"	"7601-90-3"	"高氯酸，乙酸溶液"
"177"	"表3"	"7601-90-3[含酸≤50%]"	"7601-90-3"	"高氯酸"
"178"	"表3"	"7601-90-3[含酸50-72%]"	"7601-90-3"	"高氯酸"
"179"	"表3"	"7601-90-3[含酸≥72%]"	"7601-90-3"	"高氯酸"
"180"	"表2"	"7738-94-5"	"7738-94-5"	"铬酸"
"181"	"表4"	"7664-38-2"	"7664-38-2"	"磷酸"
"182"	"表3"	"7664-38-2[无水]"	"7664-38-2"	"磷酸"
"183"	"表4"	"7664-38-2[稀溶液]"	"7664-38-2"	"磷酸溶液"
"184"	"表4"	"7664-93-9"	"7664-93-9"	"硫酸"
"185"	"表2"	"8014-95-7"	"8014-95-7"	"硫酸，发烟"
"186"	"表4"	"7664-93-9[水溶液]"	"7664-93-9"	"硫酸，水溶液"
"187"	"表2"	"7790-93-4"	"7790-93-4"	"氯酸"
"188"	"表4"	"10043-35-3"	"10043-35-3"	"硼酸"
"189"	"表2"	"11113-50-1"	"11113-50-1"	"硼酸"
"190"	"表4"	"10043-35-3[水溶液]"	"10043-35-3"	"硼酸，水溶液"
