"id"	"sheet_no"	"cas"	"cas_no"	"goods_name"
"4602"	"表4"	"152477-90-2[易燃溶剂溶液]"	"152477-90-2"	"6-乙酰吗啡-d6，溶液"
"4603"	"表4"	"136765-25-8"	"136765-25-8"	"6-乙酰吗啡-N-甲基-d3"
"4604"	"表4"	"136765-25-8[易燃溶剂溶液]"	"136765-25-8"	"6-乙酰吗啡-N-甲基-d3，溶液"
"4605"	"表4"	"66148-18-3[甲醇溶液]"	"66148-18-3"	"DL-降烟碱-d4(吡啶-d4)，甲醇溶液"
"4606"	"表4"	"66148-18-3"	"66148-18-3"	"DL-降烟碱-d4(吡啶-d4)"
"4607"	"表4"	"1020720-02-8"	"1020720-02-8"	"DL-文拉法辛-d6"
"4608"	"表4"	"1020720-02-8[甲醇溶液]"	"1020720-02-8"	"DL-文拉法辛-d6，甲醇溶液"
"4609"	"表4"	"1020719-68-9"	"1020719-68-9"	"N-亚硝基假木贼碱-d4"
"4610"	"表4"	"1020719-68-9[甲醇溶液]"	"1020719-68-9"	"N-亚硝基假木贼碱-d4，甲醇溶液"
"4611"	"表4"	"66148-19-4[甲醇溶液]"	"66148-19-4"	"N'-亚硝基降烟碱-d4，甲醇溶液"
"4612"	"表4"	"66148-19-4[溶液]"	"66148-19-4"	"N'-亚硝基降烟碱-d4，溶液"
"4613"	"表4"	"66148-19-4"	"66148-19-4"	"N'-亚硝基降烟碱-d4"
"4614"	"表4"	"1020719-69-0"	"1020719-69-0"	"N-亚硝基新烟碱-d4"
"4615"	"表4"	"1020719-69-0[甲醇溶液]"	"1020719-69-0"	"N-亚硝基新烟碱-d4，甲醇溶液"
"4616"	"表1"	"1062605-69-9[甲醇溶液]"	"1020719-35-0"	"O-去甲文拉法辛-d6，甲醇溶液"
"4617"	"表4"	"1062605-69-9[甲醇溶液]"	"1062605-69-9"	"O-去甲文拉法辛-d6，甲醇溶液"
"4618"	"表1"	"1062605-69-9"	"1020719-35-0"	"O-去甲文拉法辛-d6"
"4619"	"表4"	"1062605-69-9"	"1062605-69-9"	"O-去甲文拉法辛-d6"
"4620"	"表4"	"1286073-82-2[甲醇溶液]"	"1286073-82-2"	"阿普唑仑-d5，甲醇溶液"
"4621"	"表4"	"1286073-82-2"	"1286073-82-2"	"阿普唑仑-d5"
"4622"	"表4"	"170082-16-3"	"170082-16-3"	"艾司唑仑-d5"
"4623"	"表4"	"170082-16-3[甲醇溶液]"	"170082-16-3"	"艾司唑仑-d5，甲醇溶液"
"4624"	"表4"	"1216715-80-8[甲醇溶液]"	"1216715-80-8"	"胺碘酮-d4，盐酸盐，甲醇溶液"
"4625"	"表4"	"1216715-80-8"	"1216715-80-8"	"胺碘酮-d4，盐酸盐"
"4626"	"表4"	"63466-71-7[易燃溶剂溶液]"	"63466-71-7"	"苯并[a]芘-d12，溶液"
"4627"	"表4"	"63466-71-7"	"63466-71-7"	"苯并[a]芘-d12"
"4628"	"表4"	"93951-66-7[易燃溶剂溶液]"	"93951-66-7"	"苯并[ghi]苝-d12，溶液"
"4629"	"表4"	"93951-66-7"	"93951-66-7"	"苯并[ghi]苝-d12"
"4630"	"表4"	"60124-86-9[甲醇溶液]"	"60124-86-9"	"苯环利定-d5，甲醇溶液"
"4631"	"表4"	"60124-79-0[甲醇溶液]"	"60124-79-0"	"苯环利定-d5，盐酸盐，甲醇溶液"
"4632"	"表4"	"60124-79-0"	"60124-79-0"	"苯环利定-d5，盐酸盐"
"4633"	"表4"	"60124-86-9"	"60124-86-9"	"苯环利定-d5"
"4634"	"表4"	"1246819-21-5[甲醇溶液]"	"1246819-21-5"	"大麻二酚-d9，甲醇溶液"
"4635"	"表4"	"1246819-21-5"	"1246819-21-5"	"大麻二酚-d9"
"4636"	"表4"	"136781-89-0"	"136781-89-0"	"丁丙诺啡-d4"
"4637"	"表4"	"136781-89-0[甲醇溶液]"	"136781-89-0"	"丁丙诺啡-d4，甲醇溶液"
"4638"	"表4"	"15067-26-2"	"15067-26-2"	"苊-d10"
"4639"	"表4"	"15067-26-2[甲醇溶液]"	"15067-26-2"	"苊-d10，甲醇溶液"
"4640"	"表4"	"15067-26-2[易燃溶剂溶液]"	"15067-26-2"	"苊-d10，溶液"
"4641"	"表4"	"15067-26-2[有毒溶剂溶液]"	"15067-26-2"	"苊-d10，溶液"
"4642"	"表4"	"93951-97-4"	"93951-97-4"	"苊烯-d8"
"4643"	"表4"	"93951-97-4[易燃溶剂溶液]"	"93951-97-4"	"苊烯-d8，溶液"
"4644"	"表4"	"159956-78-2[甲醇溶液]"	"159956-78-2"	"反式-3'-羟基可替宁-甲基-d3，甲醇溶液"
"4645"	"表4"	"159956-78-2"	"159956-78-2"	"反式-3'-羟基可替宁-甲基-d3"
"4646"	"表4"	"1517-22-2"	"1517-22-2"	"菲-d10"
"4647"	"表4"	"1517-22-2[甲醇溶液]"	"1517-22-2"	"菲-d10，甲醇溶液"
"4648"	"表4"	"1517-22-2[易燃溶剂溶液]"	"1517-22-2"	"菲-d10，溶液"
"4649"	"表4"	"1517-22-2[有毒溶剂溶液]"	"1517-22-2"	"菲-d10，溶液"
"4650"	"表4"	"75472-93-4[易燃溶剂溶液]"	"75472-93-4"	"华法灵-d5，溶液"
"4651"	"表4"	"75472-93-4"	"75472-93-4"	"华法灵-d5"
"4652"	"表4"	"1219804-19-9"	"1219804-19-9"	"环丙氨嗪-d4"
"4653"	"表4"	"1219804-19-9[易燃溶剂溶液]"	"1219804-19-9"	"环丙氨嗪-d4，溶液"
"4654"	"表4"	"1217655-15-6[甲醇溶液]"	"1217655-15-6"	"替利定-d6，盐酸盐，甲醇溶液"
"4655"	"表4"	"1062606-12-5[甲醇溶液]"	"1062606-12-5"	"文拉法辛-d6，盐酸盐，甲醇溶液"
"4656"	"表4"	"1062606-12-5"	"1062606-12-5"	"文拉法辛-d6，盐酸盐"
"4657"	"表4"	"1173147-91-5"	"1173147-91-5"	"氧氟沙星-d3"
"4658"	"表4"	"1173147-91-5[易燃溶剂溶液]"	"1173147-91-5"	"氧氟沙星-d3，溶液"
"4659"	"表4"	"1571080-49-3"	"1571080-49-3"	"氧茚-d4"
"4660"	"表4"	"1571080-49-3[有毒溶剂溶液]"	"1571080-49-3"	"氧茚-d4，溶液"
"4661"	"表2"	"207569-03-7"	"207569-03-7"	"1-萘酚-d8"
"4662"	"表4"	"1217808-68-8"	"1217808-68-8"	"噻加宾-(甲基-d6)，盐酸盐"
"4663"	"表4"	"1217808-68-8[甲醇溶液]"	"1217808-68-8"	"噻加宾-(甲基-d6)，盐酸盐，甲醇溶液"
"4664"	"表4"	"17060-07-0"	"17060-07-0"	"1,2-二氯乙烷-d4"
"4665"	"表4"	"17060-07-0[甲醇溶液]"	"17060-07-0"	"1,2-二氯乙烷-d4，甲醇溶液"
"4666"	"表4"	"4666-78-8[易燃溶剂溶液]"	"4666-78-8"	"乙烯基溴-d3，溶液"
"4667"	"表4"	"4666-78-8"	"4666-78-8"	"乙烯基溴-d3"
"4668"	"表4"	"1185106-66-4[甲醇溶液]"	"1185106-66-4"	"甲丙氨酯-d3，甲醇溶液"
"4669"	"表4"	"1185106-66-4"	"1185106-66-4"	"甲丙氨酯-d3"
"4670"	"表4"	"1435933-83-7[甲醇溶液]"	"1435933-83-7"	"甲丙氨酯-d7，甲醇溶液"
"4671"	"表4"	"1435933-83-7"	"1435933-83-7"	"甲丙氨酯-d7"
"4672"	"表4"	"1173020-24-0[丙酮溶液]"	"1173020-24-0"	"4-叔辛基酚-13C6，丙酮溶液"
"4673"	"表4"	"1173020-24-0"	"1173020-24-0"	"4-叔辛基酚-13C6"
"4674"	"表4"	"1173020-38-6[丙酮溶液]"	"1173020-38-6"	"4-(1-乙基-1,4-二甲基戊基)苯酚-13C6(环-13C6)，丙酮溶液"
"4675"	"表4"	"1173020-38-6[易燃溶剂溶液]"	"1173020-38-6"	"4-(1-乙基-1,4-二甲基戊基)苯酚-13C6(环-13C6)，溶液"
"4676"	"表4"	"1173020-38-6"	"1173020-38-6"	"4-(1-乙基-1,4-二甲基戊基)苯酚-13C6(环-13C6)"
"4677"	"表4"	"1173019-61-8[丙酮溶液]"	"1173019-61-8"	"2-[4-(1-乙基-1,4-二甲基戊基)苯氧基]乙醇-13C6，丙酮溶液"
"4678"	"表4"	"1173019-61-8"	"1173019-61-8"	"2-[4-(1-乙基-1,4-二甲基戊基)苯氧基]乙醇-13C6"
"4679"	"表4"	"1173021-42-5[丙酮溶液]"	"1173021-42-5"	"2-{2-[4-(1-乙基-1,4-二甲基戊基)苯氧基-3,5-d2]乙氧基}乙醇，丙酮溶液"
"4680"	"表4"	"1173021-42-5"	"1173021-42-5"	"2-{2-[4-(1-乙基-1,4-二甲基戊基)苯氧基-3,5-d2]乙氧基}乙醇"
"4681"	"表4"	"1189980-48-0"	"1189980-48-0"	"rac-普瑞巴林-13C3"
"4682"	"表4"	"1189980-48-0[甲醇溶液]"	"1189980-48-0"	"rac-普瑞巴林-13C3，甲醇溶液"
"4683"	"表4"	"1202866-92-9[易燃溶剂溶液]"	"1202866-92-9"	"霉酚酸-13C17，溶液"
"4684"	"表4"	"1202866-92-9"	"1202866-92-9"	"霉酚酸-13C17"
"4685"	"表4"	"53120-07-3[甲苯溶液]"	"53120-07-3"	"光气-13C，甲苯溶液"
"4686"	"表4"	"53120-07-3"	"53120-07-3"	"光气-13C"
"4687"	"表4"	"1189954-79-7[甲醇溶液]"	"1189954-79-7"	"烟酸-C(13)6，甲醇溶液"
"4688"	"表4"	"1189954-79-7"	"1189954-79-7"	"烟酸-C(13)6"
"4689"	"表4"	"327048-83-9[易燃溶剂溶液]"	"327048-83-9"	"睾酮-2,3,4-13C3，溶液"
"4690"	"表4"	"327048-83-9"	"327048-83-9"	"睾酮-2,3,4-13C3"
"4691"	"表4"	"1217449-45-0[易燃溶剂溶液]"	"1217449-45-0"	"黄曲霉素B1-13C17，溶液"
"4692"	"表4"	"1217449-45-0"	"1217449-45-0"	"黄曲霉素B1-13C17"
"4693"	"表4"	"1217470-98-8[易燃溶剂溶液]"	"1217470-98-8"	"黄曲霉素B2-13C17，溶液"
"4694"	"表4"	"1217470-98-8"	"1217470-98-8"	"黄曲霉素B2-13C17"
"4695"	"表4"	"1217444-07-9[易燃溶剂溶液]"	"1217444-07-9"	"黄曲霉素G1-13C17，溶液"
"4696"	"表4"	"1217444-07-9"	"1217444-07-9"	"黄曲霉素G1-13C17"
"4697"	"表4"	"1217462-49-1[易燃溶剂溶液]"	"1217462-49-1"	"黄曲霉素G2-13C17，溶液"
"4698"	"表4"	"1217462-49-1"	"1217462-49-1"	"黄曲霉素G2-13C17"
"4699"	"表2"	"1257525-77-1"	"1257525-77-1"	"硫胺-13C4，盐酸盐"
"4700"	"表2"	"1189677-14-2"	"1189677-14-2"	"1'-羟基咪达唑仑-13C3"
"4701"	"表4"	"1173019-48-1"	"1173019-48-1"	"2-[4-(1,1,3,3-四甲基丁基)苯氧基]乙醇-13C6"
"4702"	"表4"	"1173019-48-1[丙酮溶液]"	"1173019-48-1"	"2-[4-(1,1,3,3-四甲基丁基)苯氧基]乙醇-13C6，丙酮溶液"
"4703"	"表4"	"1173020-69-3[丙酮溶液]"	"1173020-69-3"	"2-{2-[4-(1,1,3,3-四甲基丁基)苯氧基]乙氧基}乙醇-13C6，丙酮溶液"
"4704"	"表4"	"1173020-69-3"	"1173020-69-3"	"2-{2-[4-(1,1,3,3-四甲基丁基)苯氧基]乙氧基}乙醇-13C6"
"4705"	"表4"	"1173019-36-7[丙酮溶液]"	"1173019-36-7"	"2-{2-[4-(1-乙基-1,4-二甲基戊基)苯氧基]乙氧基}乙醇-13C6，丙酮溶液"
"4706"	"表4"	"1173019-36-7"	"1173019-36-7"	"2-{2-[4-(1-乙基-1,4-二甲基戊基)苯氧基]乙氧基}乙醇-13C6"
"4707"	"表4"	"911392-40-0"	"911392-40-0"	"雪腐镰刀菌烯醇-13C15"
"4708"	"表4"	"911392-40-0[易燃溶剂溶液]"	"911392-40-0"	"雪腐镰刀菌烯醇-13C15，溶液"
"4709"	"表4"	"911392-43-3[易燃溶剂溶液]"	"911392-43-3"	"玉米烯酮-13C18，溶液"
"4710"	"表4"	"911392-43-3"	"911392-43-3"	"玉米烯酮-13C18"
"4711"	"表4"	"1435934-68-1"	"1435934-68-1"	"唑尼沙胺-13C6"
"4712"	"表4"	"1435934-68-1[甲醇溶液]"	"1435934-68-1"	"唑尼沙胺-13C6，甲醇溶液"
"4713"	"表4"	"13132-73-5[甲醇溶液]"	"13132-73-5"	"3-羟基溴西泮，甲醇溶液"
"4714"	"表4"	"84540-57-8[甲醇溶液]"	"84540-57-8"	"丙二醇单甲醚乙酸酯，甲醇溶液"
"4715"	"表2"	"123-42-2"	"123-42-2"	"4-羟基-4-甲基-2-戊酮"
"4716"	"表2"	"107-70-0"	"107-70-0"	"4-甲氧基-4-甲基-2-戊酮"
"4717"	"表2"	"4676-39-5"	"4676-39-5"	"3,4-亚甲基二氧苯基-2-丙酮"
"4718"	"表2"	"23022-83-5"	"23022-83-5"	"α-溴代苯丙酮"
"4719"	"表4"	"90-98-2[易燃溶剂溶液]"	"90-98-2"	"4,4'-二氯二苯甲酮，溶液"
"4720"	"表4"	"90-98-2"	"90-98-2"	"4,4'-二氯二苯甲酮"
"4721"	"表4"	"131-57-7[易燃溶剂溶液]"	"131-57-7"	"4-甲氧基-2-羟基二苯甲酮，溶液"
"4722"	"表4"	"131-57-7"	"131-57-7"	"4-甲氧基-2-羟基二苯甲酮"
"4723"	"表2"	"814-78-8"	"814-78-8"	"3-甲基-3-丁烯-2-酮"
"4724"	"表2"	"75-97-8"	"75-97-8"	"3,3-二甲基-2-丁酮"
"4725"	"表2"	"674-82-8"	"674-82-8"	"双乙烯酮"
"4726"	"表2"	"2614-76-8"	"2614-76-8"	"2,2-过氧化二氢丙烷"
"4727"	"表2"	"141-79-7"	"141-79-7"	"4-甲基-3-戊烯-2-酮"
"4728"	"表2"	"182893-11-4"	"182893-11-4"	"过氧化甲基异丙基酮"
"4729"	"表2"	"28056-59-9"	"28056-59-9"	"过氧化甲基异丁基酮"
"4730"	"表2"	"513-86-0"	"513-86-0"	"3-羟基-2-丁酮"
"4731"	"表4"	"3988-03-2[易燃溶剂溶液]"	"3988-03-2"	"4,4'-二溴二苯甲酮，溶液"
"4732"	"表4"	"3988-03-2"	"3988-03-2"	"4,4'-二溴二苯甲酮"
"4733"	"表2"	"120-92-3"	"120-92-3"	"环戊酮"
"4734"	"表2"	"108-94-1"	"108-94-1"	"环己酮"
"4735"	"表2"	"502-42-1"	"502-42-1"	"环庚酮"
"4736"	"表2"	"583-60-8"	"583-60-8"	"2-甲基环己酮"
"4737"	"表2"	"591-24-2"	"591-24-2"	"3-甲基环己酮"
"4738"	"表2"	"589-92-4"	"589-92-4"	"4-甲基环己酮"
"4739"	"表2"	"1331-22-2"	"1331-22-2"	"甲基环己酮，异构体混合物"
"4740"	"表2"	"563-80-4"	"563-80-4"	"3-甲基-2-丁酮"
"4741"	"表2"	"565-80-0"	"565-80-0"	"2,4-二甲基-3-戊酮"
"4742"	"表2"	"565-69-5"	"565-69-5"	"2-甲基-3-戊酮"
"4743"	"表2"	"565-61-7"	"565-61-7"	"3-甲基-2-戊酮"
"4744"	"表4"	"108-10-1[甲醇溶液]"	"108-10-1"	"4-甲基-2-戊酮，甲醇溶液"
"4745"	"表4"	"108-10-1"	"108-10-1"	"4-甲基-2-戊酮"
"4746"	"表2"	"110-12-3"	"110-12-3"	"5-甲基-2-己酮"
"4747"	"表2"	"108-83-8"	"108-83-8"	"2,6-二甲基-4-庚酮"
"4748"	"表2"	"431-03-8"	"431-03-8"	"2,3-丁二酮"
"4749"	"表2"	"123-54-6"	"123-54-6"	"2,4-戊二酮"
"4750"	"表4"	"67-64-1[甲醇溶液]"	"67-64-1"	"丙酮，甲醇溶液"
"4751"	"表4"	"67-64-1[易燃溶剂溶液]"	"67-64-1"	"丙酮，溶液"
"4752"	"表4"	"67-64-1[水溶液]"	"67-64-1"	"丙酮，水溶液"
"4753"	"表4"	"67-64-1"	"67-64-1"	"丙酮"
"4754"	"表2"	"78-93-3"	"78-93-3"	"2-丁酮"
"4755"	"表2"	"107-87-9"	"107-87-9"	"2-戊酮"
"4756"	"表2"	"96-22-0"	"96-22-0"	"3-戊酮"
"4757"	"表2"	"591-78-6"	"591-78-6"	"2-己酮"
"4758"	"表2"	"589-38-8"	"589-38-8"	"3-己酮"
"4759"	"表2"	"110-43-0"	"110-43-0"	"2-庚酮"
"4760"	"表2"	"106-35-4"	"106-35-4"	"3-庚酮"
"4761"	"表2"	"123-19-3"	"123-19-3"	"4-庚酮"
"4762"	"表2"	"106-68-3"	"106-68-3"	"3-辛酮"
"4763"	"表2"	"598-31-2"	"598-31-2"	"溴丙酮"
"4764"	"表2"	"78-95-5"	"78-95-5"	"氯丙酮"
"4765"	"表2"	"513-88-2"	"513-88-2"	"1,1-二氯丙酮"
"4766"	"表2"	"534-07-6"	"534-07-6"	"1,3-二氯丙酮"
"4767"	"表2"	"79-52-7"	"79-52-7"	"1,1,3-三氯-1,3,3-三氟丙酮"
"4768"	"表2"	"632-21-3"	"632-21-3"	"1,1,3,3-四氯丙酮"
"4769"	"表2"	"116-16-5"	"116-16-5"	"六氯丙酮"
"4770"	"表2"	"421-50-1"	"421-50-1"	"1,1,1-三氟丙酮"
"4771"	"表2"	"13098-39-0"	"13098-39-0"	"六氟丙酮，1.5水"
"4772"	"表2"	"34202-69-2"	"34202-69-2"	"六氟丙酮，三水"
"4773"	"表2"	"684-16-2"	"684-16-2"	"六氟丙酮"
"4774"	"表2"	"25109-57-3"	"25109-57-3"	"1,2-二溴-3-丁酮"
"4775"	"表2"	"930-68-7"	"930-68-7"	"2-环己烯-1-酮"
"4776"	"表2"	"78-94-4"	"78-94-4"	"3-丁烯-2-酮"
"4777"	"表2"	"1629-58-9"	"1629-58-9"	"1-戊烯-3-酮"
"4778"	"表2"	"109-49-9"	"109-49-9"	"5-己烯-2-酮"
"4779"	"表4"	"40739-44-4[易燃溶剂溶液]"	"40739-44-4"	"4-丁基-α,α,α-三氟苯乙酮，溶液"
"4780"	"表4"	"40739-44-4"	"40739-44-4"	"4-丁基-α,α,α-三氟苯乙酮"
"4781"	"表2"	"96-29-7"	"96-29-7"	"2-丁酮肟"
"4782"	"表2"	"624-92-0"	"624-92-0"	"二甲二硫"
"4783"	"表2"	"4016-11-9"	"4016-11-9"	"1,2-环氧-3-乙氧基丙烷"
"4784"	"表2"	"109-87-5"	"109-87-5"	"二甲氧基甲烷"
"4785"	"表2"	"462-95-3"	"462-95-3"	"二乙氧基甲烷"
"4786"	"表2"	"534-15-6"	"534-15-6"	"1,1-二甲氧基乙烷"
"4787"	"表2"	"105-57-7"	"105-57-7"	"1,1-二乙氧基乙烷"
"4788"	"表2"	"77-76-9"	"77-76-9"	"2,2-二甲氧基丙烷"
"4789"	"表2"	"334-88-3"	"334-88-3"	"重氮甲烷"
"4790"	"表4"	"53-19-0[易燃溶剂溶液]"	"53-19-0"	"1-(2-氯苯基)-1-(4-氯苯基)-2,2-二氯乙烷，溶液"
"4791"	"表4"	"53-19-0"	"53-19-0"	"1-(2-氯苯基)-1-(4-氯苯基)-2,2-二氯乙烷"
"4792"	"表2"	"594-72-9"	"594-72-9"	"1,1-二氯-1-硝基乙烷"
"4793"	"表2"	"600-25-9"	"600-25-9"	"1-氯-1-硝基丙烷"
"4794"	"表4"	"1675-54-3[甲醇溶液]"	"1675-54-3"	"2,2-双(4-环氧丙氧基苯基)丙烷，甲醇溶液"
"4795"	"表4"	"1675-54-3"	"1675-54-3"	"2,2-双(4-环氧丙氧基苯基)丙烷"
"4796"	"表4"	"80-05-7[有毒溶剂溶液]"	"80-05-7"	"2,2-双(4-羟基苯基)丙烷，溶液"
"4797"	"表4"	"80-05-7"	"80-05-7"	"2,2-双(4-羟基苯基)丙烷"
"4798"	"表2"	"140-80-7"	"140-80-7"	"2-氨基-5-二乙氨基戊烷"
"4799"	"表4"	"101-77-9[易燃溶剂溶液]"	"101-77-9"	"4,4'-二氨基二苯甲烷，溶液"
"4800"	"表4"	"101-77-9"	"101-77-9"	"4,4'-二氨基二苯甲烷"
"4801"	"表2"	"3132-64-7"	"3132-64-7"	"环氧溴丙烷"
"4802"	"表2"	"107-29-9"	"107-29-9"	"乙醛肟"
"4803"	"表2"	"110-69-0"	"110-69-0"	"丁醛肟"
"4804"	"表4"	"95-45-4[易燃溶剂溶液]"	"95-45-4"	"2,3-丁二酮二肟，溶液"
"4805"	"表4"	"95-45-4"	"95-45-4"	"2,3-丁二酮二肟"
"4806"	"表2"	"556-64-9"	"556-64-9"	"硫氰酸甲酯"
"4807"	"表2"	"77-78-1"	"77-78-1"	"硫酸二甲酯"
"4808"	"表2"	"121-43-7"	"121-43-7"	"硼酸三甲酯"
"4809"	"表2"	"616-38-6"	"616-38-6"	"碳酸二甲酯"
"4810"	"表2"	"868-85-9"	"868-85-9"	"亚磷酸二甲酯"
"4811"	"表2"	"121-45-9"	"121-45-9"	"亚磷酸三甲酯"
"4812"	"表2"	"624-91-9"	"624-91-9"	"亚硝酸甲酯"
"4813"	"表4"	"556-61-6[易燃溶剂溶液]"	"556-61-6"	"异硫氰酸甲酯，溶液"
"4814"	"表4"	"556-61-6"	"556-61-6"	"异硫氰酸甲酯"
"4815"	"表2"	"624-83-9"	"624-83-9"	"异氰酸甲酯"
"4816"	"表2"	"681-84-5"	"681-84-5"	"原硅酸四甲酯"
"4817"	"表2"	"112-96-9"	"112-96-9"	"异氰酸十八酯"
"4818"	"表2"	"3689-24-5"	"3689-24-5"	"二硫代焦磷酸四乙酯"
"4819"	"表2"	"107-49-3"	"107-49-3"	"焦磷酸四乙酯"
"4820"	"表2"	"542-90-5"	"542-90-5"	"硫氰酸乙酯"
"4821"	"表2"	"64-67-5"	"64-67-5"	"硫酸二乙酯"
"4822"	"表2"	"540-82-9"	"540-82-9"	"硫酸氢乙酯"
"4823"	"表2"	"814-49-3"	"814-49-3"	"氯磷酸二乙酯"
"4824"	"表2"	"150-46-9"	"150-46-9"	"硼酸三乙酯"
"4825"	"表2"	"757-58-4"	"757-58-4"	"四磷酸六乙酯"
"4826"	"表2"	"3087-36-3"	"3087-36-3"	"钛酸四乙酯"
"4827"	"表2"	"105-58-8"	"105-58-8"	"碳酸二乙酯"
"4828"	"表2"	"625-58-1"	"625-58-1"	"硝酸乙酯"
"4829"	"表2"	"762-04-9"	"762-04-9"	"亚磷酸二乙酯"
"4830"	"表2"	"122-52-1"	"122-52-1"	"亚磷酸三乙酯"
"4831"	"表4"	"109-95-5[醇溶液]"	"109-95-5"	"亚硝酸乙酯，醇溶液"
"4832"	"表4"	"109-95-5"	"109-95-5"	"亚硝酸乙酯"
"4833"	"表2"	"109-90-0"	"109-90-0"	"异氰酸乙酯"
"4834"	"表2"	"78-10-4"	"78-10-4"	"原硅酸四乙酯"
"4835"	"表2"	"30714-78-4"	"30714-78-4"	"碳酸乙丁酯"
"4836"	"表2"	"3087-37-4"	"3087-37-4"	"钛酸四丙酯"
"4837"	"表2"	"623-96-1"	"623-96-1"	"碳酸二丙酯"
"4838"	"表2"	"627-13-4"	"627-13-4"	"硝酸丙酯"
"4839"	"表2"	"543-67-9"	"543-67-9"	"亚硝酸丙酯"
"4840"	"表2"	"110-78-1"	"110-78-1"	"异氰酸丙酯"
"4841"	"表4"	"126-73-8[易燃溶剂溶液]"	"126-73-8"	"磷酸三丁酯，溶液"
"4842"	"表4"	"126-73-8"	"126-73-8"	"磷酸三丁酯"
"4843"	"表2"	"928-45-0"	"928-45-0"	"硝酸丁酯"
"4844"	"表2"	"1809-19-4"	"1809-19-4"	"亚磷酸二丁酯"
"4845"	"表2"	"544-16-1"	"544-16-1"	"亚硝酸丁酯"
"4846"	"表2"	"111-36-4"	"111-36-4"	"异氰酸丁酯"
"4847"	"表2"	"12788-93-1"	"12788-93-1"	"磷酸二氢丁酯"
"4848"	"表2"	"3138-42-9"	"3138-42-9"	"磷酸氢二戊酯"
"4849"	"表2"	"1002-16-0"	"1002-16-0"	"硝酸戊酯"
"4850"	"表2"	"463-04-7"	"463-04-7"	"亚硝酸戊酯"
"4851"	"表2"	"81228-87-7"	"81228-87-7"	"氯甲酸环丁酯"
"4852"	"表2"	"3173-53-3"	"3173-53-3"	"异氰酸环己酯"
"4853"	"表2"	"32315-10-9"	"32315-10-9"	"双(三氯甲基)碳酸酯"
"4854"	"表2"	"5419-55-6"	"5419-55-6"	"硼酸三异丙酯"
"4855"	"表2"	"1189-85-1"	"1189-85-1"	"铬酸叔丁酯，四氯化碳溶液"
"4856"	"表2"	"1609-86-5"	"1609-86-5"	"异氰酸叔丁酯"
"4857"	"表2"	"57-06-7"	"57-06-7"	"异硫氰酸烯丙酯"
"4858"	"表2"	"625-59-2"	"625-59-2"	"硫氰酸异丙酯"
"4859"	"表2"	"546-68-9"	"546-68-9"	"钛酸四异丙酯"
"4860"	"表2"	"1712-64-7"	"1712-64-7"	"硝酸异丙酯"
"4861"	"表2"	"541-42-4"	"541-42-4"	"亚硝酸异丙酯"
"4862"	"表2"	"1795-48-8"	"1795-48-8"	"异氰酸异丙酯"
"4863"	"表2"	"542-56-3"	"542-56-3"	"亚硝酸异丁酯"
"4864"	"表2"	"1873-29-6"	"1873-29-6"	"异氰酸异丁酯"
"4865"	"表2"	"543-87-3"	"543-87-3"	"硝酸异戊酯"
"4866"	"表2"	"110-46-3"	"110-46-3"	"亚硝酸异戊酯"
"4867"	"表3"	"78-11-5[含蜡≥7%]"	"78-11-5"	"季戊四醇四硝酸酯"
"4868"	"表3"	"78-11-5[含水≥25%或含减敏剂≥15%]"	"78-11-5"	"季戊四醇四硝酸酯"
"4869"	"表3"	"55-63-0[液态混合物,未另做规定,减敏的,硝化甘油≤30%]"	"55-63-0"	"硝化甘油，溶液"
"4870"	"表3"	"55-63-0[液态混合物,易燃,减敏的,硝化甘油≤30%]"	"55-63-0"	"硝化甘油，溶液"
"4871"	"表3"	"55-63-0[乙醇溶液,硝化甘油≤1%]"	"55-63-0"	"硝化甘油，乙醇溶液"
"4872"	"表3"	"55-63-0[乙醇溶液,10%≥硝化甘油＞1%]"	"55-63-0"	"硝化甘油，乙醇溶液"
"4873"	"表3"	"55-63-0[含不挥发、不溶于水的减敏剂≥40%]"	"55-63-0"	"硝化甘油"
"4874"	"表3"	"55-63-0[固态混合物,减敏的,10%≥硝化甘油＞2%]"	"55-63-0"	"硝化甘油"
"4875"	"表2"	"101-02-0"	"101-02-0"	"亚磷酸三苯酯"
"4876"	"表4"	"103-72-0[易燃溶剂溶液]"	"103-72-0"	"异硫氰酸苯酯，溶液"
"4877"	"表4"	"103-72-0"	"103-72-0"	"异硫氰酸苯酯"
"4878"	"表2"	"551-06-4"	"551-06-4"	"异硫氰酸-1-萘酯"
"4879"	"表2"	"28479-22-3"	"28479-22-3"	"3-氯-4-甲基苯异氰酸酯"
"4880"	"表2"	"103-71-9"	"103-71-9"	"异氰酸苯酯"
"4881"	"表2"	"100-28-7"	"100-28-7"	"异氰酸-4-硝基苯酯"
"4882"	"表2"	"2493-02-9"	"2493-02-9"	"异氰酸-4-溴苯酯"
"4883"	"表2"	"102-36-3"	"102-36-3"	"3,4-二氯苯异氰酸酯"
"4884"	"表2"	"6427-21-0"	"6427-21-0"	"异氰酸甲氧基甲酯"
"4885"	"表2"	"329-01-1"	"329-01-1"	"异氰酸三氟甲苯酯"
"4886"	"表2"	"7785-26-4"	"7785-26-4"	"(-)-α-蒎烯"
"4887"	"表2"	"7785-70-8"	"7785-70-8"	"(+)-α-蒎烯"
"4888"	"表2"	"80-56-8"	"80-56-8"	"(±)-α-蒎烯"
